taxon	sequenceID	genotype	isolate	country	collection_year
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AB074761	AB074761	1IV	A88	Indonesia	1988
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AB189120	AB189120	1IV	98901518 DHF DV-1	Indonesia	1998
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AB189121	AB189121	1IV	98901530 DF DV-1	Indonesia	1998
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AB204803	AB204803	1IV	D1/hu/Yap/NIID27/2004	Japan	2004
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AB519681	AB519681	1V	SB 01057805 (DF02)	Brazil	2001
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AB608786	AB608786	1I	NDF30	Taiwan	2008
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AF180817	AF180817	1II	16007	Thailand	1964
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AF298808	AF298808	1I	D1/H/IMTSSA/98/606	Djibouti	1998
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AF311956	AF311956	1V	BR/97-111	Brazil	1997
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AF350498	AF350498	1I	GZ/80	-	-
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AY206457	AY206457	1V	293arg00	Argentina	2000
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AY277665	AY277665	1V	ARG0028	Argentina	2000
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AY277666	AY277666	1V	ARG0048	Argentina	2000
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AY713473	AY713473	1III	D1.Myanmar.40553/71	Myanmar	1971
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AY722801	AY722801	1III	D1.Myanmar.40568/76	Myanmar	1976
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AY722802	AY722802	1III	D1.Myanmar.23819/96	Myanmar	1996
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AY722803	AY722803	1III	D1.Myanmar.32514/98	Myanmar	1998
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AY726552	AY726552	1I	D1.Myanmar.44988/02	Myanmar	2002
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AY732478	AY732478	1I	ThD1_0323_91	Thailand	1991
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AY732480	AY732480	1I	ThD1_0097_94	Thailand	1994
alignment/AL_UNC_DENV1/member/ncbi-refseqs/AY732482	AY732482	1I	ThD1_0049_01	Thailand	2001
alignment/AL_UNC_DENV1/member/ncbi-refseqs/DQ285559	DQ285559	1V	Reunion 191/04	Reunion	2004
alignment/AL_UNC_DENV1/member/ncbi-refseqs/DQ285562	DQ285562	1VI	Comoros 04.329/93	Comoros	1993
alignment/AL_UNC_DENV1/member/ncbi-refseqs/DQ672561	DQ672561	1IV	HawM3430	USA	2001
alignment/AL_UNC_DENV1/member/ncbi-refseqs/DQ672564	DQ672564	1IV	HawO3663	USA	2001
alignment/AL_UNC_DENV1/member/ncbi-refseqs/EF032590	EF032590	1IV	GZ01/95	China	1995
alignment/AL_UNC_DENV1/member/ncbi-refseqs/EU179860	EU179860	1VI	DS06-210505	Brunei	2005
alignment/AL_UNC_DENV1/member/ncbi-refseqs/EU482567	EU482567	1V	DENV-1/US/BID-V1162/1998	USA	1998
alignment/AL_UNC_DENV1/member/ncbi-refseqs/FJ176779	FJ176779	1I	DEN1/GZ/OY	China	2006
alignment/AL_UNC_DENV1/member/ncbi-refseqs/FJ196842	FJ196842	1IV	GD66/03	China	2003
alignment/AL_UNC_DENV1/member/ncbi-refseqs/FJ196847	FJ196847	1I	GD01/97	China	1997
alignment/AL_UNC_DENV1/member/ncbi-refseqs/FJ205875	FJ205875	1V	DENV-1/US/BID-V1744/1995	USA	1995
alignment/AL_UNC_DENV1/member/ncbi-refseqs/FJ469907	FJ469907	1I	SG(EHI)D1209Y03	Singapore	2003
alignment/AL_UNC_DENV1/member/ncbi-refseqs/GQ199835	GQ199835	1I	DENV-1/VN/BID-V2840/2005	Viet Nam	2005
alignment/AL_UNC_DENV1/member/ncbi-refseqs/GQ868602	GQ868602	1IV	DENV-1/PH/BID-V2940/2004	Philippines	2004
alignment/AL_UNC_DENV1/member/ncbi-refseqs/GQ868637	GQ868637	1I	DENV-1/IPC/BID-V3919/2000	Cambodia	2000
alignment/AL_UNC_DENV1/member/ncbi-refseqs/GU131895	GU131895	1I	DENV-1/IPC/BID-V3787/2009	Cambodia	2009
alignment/AL_UNC_DENV1/member/ncbi-refseqs/HQ166037	HQ166037	1V	DENV-1/MX/BID-V3757/2008	Mexico	2008
alignment/AL_UNC_DENV1/member/ncbi-refseqs/HQ891316	HQ891316	1I	DV1_SL_2009d	Sri Lanka	2009
alignment/AL_UNC_DENV1/member/ncbi-refseqs/JN697056	JN697056	1IV	DH/S1/05/04	Malaysia	2005
alignment/AL_UNC_DENV1/member/ncbi-refseqs/KJ189351	KJ189351	1V	DENV-1/PR/BID-V7705/2012	Puerto Rico	2012
alignment/AL_UNC_DENV1/member/ncbi-refseqs/NC_001477	NC_001477	1IV	45AZ5	Western Pacific	1974
alignment/AL_UNC_DENV1/member/ncbi-refseqs/U88535	U88535	1IV	Nauru Island, Western Pacific	Western Pacific	1974
