taxon	sequenceID	source.name	genotype	major_lineage	minor_lineage	isolate	country	collection_year
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EF105380	EF105380	ncbi-refseqs	2VI	2VI	2VI	Dak Ar 578	Cote d'Ivoire	1980
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EF105381	EF105381	ncbi-refseqs	2VI	2VI	2VI	Dak Ar 510	Cote d'Ivoire	1980
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EF105383	EF105383	ncbi-refseqs	2VI	2VI	2VI	Dak Ar A1247	Cote d'Ivoire	1980
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EF105386	EF105386	ncbi-refseqs	2VI	2VI	2VI	Dak Ar A2022	Burkina Faso	1980
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482449	EU482449	ncbi-refseqs	2III	2III_A	2III_A.2	DENV-2/VN/BID-V1004/2006	Viet Nam: south	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482548	EU482548	ncbi-refseqs	2III	2III_B	2III_B	DENV-2/US/BID-V1035/2006	USA: Puerto Rico	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482549	EU482549	ncbi-refseqs	2III	2III_B	2III_B	DENV-2/US/BID-V1036/2006	USA: Puerto Rico	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482597	EU482597	ncbi-refseqs	2III	2III_D	2III_D.1.3	DENV-2/NI/BID-V609/2005	Nicaragua: Managua	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482603	EU482603	ncbi-refseqs	2III	2III_D	2III_D.1	DENV-2/NI/BID-V615/2007	Nicaragua: Managua	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482633	EU482633	ncbi-refseqs	2III	2III_D	2III_D.1.3	DENV-2/NI/BID-V631/2006	Nicaragua: Managua	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482634	EU482634	ncbi-refseqs	2III	2III_D	2III_D.1	DENV-2/NI/BID-V633/2006	Nicaragua: Managua	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482636	EU482636	ncbi-refseqs	2III	2III_D	2III_D.1.3	DENV-2/NI/BID-V654/2005	Nicaragua: Managua	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482637	EU482637	ncbi-refseqs	2III	2III_D	2III_D.1.3	DENV-2/NI/BID-V658/2005	Nicaragua: Managua	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482648	EU482648	ncbi-refseqs	2III	2III_A	2III_A.2	DENV-2/VN/BID-V711/2006	Viet Nam: south	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482660	EU482660	ncbi-refseqs	2III	2III_A	2III_A.2	DENV-2/VN/BID-V723/2006	Viet Nam: south	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482662	EU482662	ncbi-refseqs	2III	2III_A	2III_A.2	DENV-2/VN/BID-V725/2006	Viet Nam: south	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482666	EU482666	ncbi-refseqs	2III	2III_A	2III_A.2	DENV-2/VN/BID-V729/2006	Viet Nam: south	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482689	EU482689	ncbi-refseqs	2III	2III_D	2III_D.1	DENV-2/NI/BID-V576/2006	Nicaragua: Managua	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482719	EU482719	ncbi-refseqs	2III	2III_B	2III_B	DENV-2/US/BID-V587/2006	USA: Puerto Rico	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482748	EU482748	ncbi-refseqs	2III	2III_D	2III_D.1	DENV-2/NI/BID-V513/2005	Nicaragua: Managua	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482757	EU482757	ncbi-refseqs	2III	2III_D	2III_D.1	DENV-2/NI/BID-V535/2005	Nicaragua: Managua	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482787	EU482787	ncbi-refseqs	2III	2III_A	2III_A.1	DENV-2/VN/BID-V765/2003	Viet Nam: south	2003
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU569698	EU569698	ncbi-refseqs	2III	2III_D	2III_D.1.1	DENV-2/NI/BID-V1212/2007	Nicaragua: Managua	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU569700	EU569700	ncbi-refseqs	2III	2III_D	2III_D.1.1	DENV-2/NI/BID-V1219/2007	Nicaragua: Managua	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU596488	EU596488	ncbi-refseqs	2III	2III_B	2III_B	DENV-2/US/BID-V1410/2007	USA: Puerto Rico	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU596490	EU596490	ncbi-refseqs	2III	2III_B	2III_B	DENV-2/US/BID-V1412/2007	USA: Puerto Rico	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU596498	EU596498	ncbi-refseqs	2III	2III_D	2III_D.1.1	DENV-2/NI/BID-V1211/2007	Nicaragua: Managua	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU660406	EU660406	ncbi-refseqs	2III	2III_D	2III_D.1.1	DENV-2/NI/BID-V1207/2007	Nicaragua: Managua	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs/FJ744719	FJ744719	ncbi-refseqs	2V	2V_E	2V_E	DENV-2/TH/BID-V2305/2001	Thailand: Kampheange Phet	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs/FJ744720	FJ744720	ncbi-refseqs	2V	2V_E	2V_E	DENV-2/TH/BID-V2306/2001	Thailand: Kampheange Phet	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs/FJ744721	FJ744721	ncbi-refseqs	2V	2V_E	2V_E	DENV-2/TH/BID-V2307/2001	Thailand: Kampheange Phet	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs/FJ744722	FJ744722	ncbi-refseqs	2V	2V_E	2V_E	DENV-2/TH/BID-V2308/2001	Thailand: Kampheange Phet	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs/FJ744723	FJ744723	ncbi-refseqs	2V	2V_E	2V_E	DENV-2/TH/BID-V2309/2001	Thailand: Kampheange Phet	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs/FJ898435	FJ898435	ncbi-refseqs	2III	2III_D	2III_D.1.3	DENV-2/NI/BID-V648/2005	Nicaragua: Managua	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs/FM210209	FM210209	ncbi-refseqs	2III	2III_A	2III_A.1	DF726	Viet Nam:South	2003
alignment/AL_UNC_DENV2/member/ncbi-refseqs/FM210236	FM210236	ncbi-refseqs	2III	2III_A	2III_A.1	CSF381	Viet Nam:South	2004
alignment/AL_UNC_DENV2/member/ncbi-refseqs/FM210239	FM210239	ncbi-refseqs	2III	2III_A	2III_A.1	MD1244	Viet Nam:South	2004
alignment/AL_UNC_DENV2/member/ncbi-refseqs/HM582111	HM582111	ncbi-refseqs	2I	2I	2I	D2/TO/UH16/1974	Tonga	1974
alignment/AL_UNC_DENV2/member/ncbi-refseqs/HM582112	HM582112	ncbi-refseqs	2I	2I	2I	D2/TO/UH19/1974	Tonga	1974
alignment/AL_UNC_DENV2/member/ncbi-refseqs/HM582113	HM582113	ncbi-refseqs	2I	2I	2I	D2/TO/UH20/1974	Tonga	1974
alignment/AL_UNC_DENV2/member/ncbi-refseqs/HM582114	HM582114	ncbi-refseqs	2I	2I	2I	D2/TO/UH39/1974	Tonga	1974
alignment/AL_UNC_DENV2/member/ncbi-refseqs/HM582115	HM582115	ncbi-refseqs	2I	2I	2I	D2/TO/UH44/1974	Tonga	1974
