taxon	sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	combined	combined-with-id	isolate	country	collection_year
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/FJ196849.1_1978	FJ196849.1_1978	4	4II	4II_A	-	-	4/4II/4II_A/-/-	FJ196849.1_1978/4/4II/4II_A/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/JF741967.1_2010-09-26	JF741967.1_2010-09-26	4	4II	4II_A	4II_A.2	-	4/4II/4II_A/4II_A.2/-	JF741967.1_2010-09-26/4/4II/4II_A/4II_A.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/JN638572.1_2008	JN638572.1_2008	4	4I	4I_A	4I_A.2	-	4/4I/4I_A/4I_A.2/-	JN638572.1_2008/4/4I/4I_A/4I_A.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/JQ922559.1_1979	JQ922559.1_1979	4	4I	4I_B	-	-	4/4I/4I_B/-/-	JQ922559.1_1979/4/4I/4I_B/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KC762696.1_2007-08-13	KC762696.1_2007-08-13	4	4II	4II_A	4II_A.2	-	4/4II/4II_A/4II_A.2/-	KC762696.1_2007-08-13/4/4II/4II_A/4II_A.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KC762698.1_2008-04-30	KC762698.1_2008-04-30	4	4II	4II_A	4II_A.2	-	4/4II/4II_A/4II_A.2/-	KC762698.1_2008-04-30/4/4II/4II_A/4II_A.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KC762699.1_2008-03-28	KC762699.1_2008-03-28	4	4II	4II_A	4II_A.2	-	4/4II/4II_A/4II_A.2/-	KC762699.1_2008-03-28/4/4II/4II_A/4II_A.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KF041260.1_2009	KF041260.1_2009	4	4I	4I_B	4I_B.1	-	4/4I/4I_B/4I_B.1/-	KF041260.1_2009/4/4I/4I_B/4I_B.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KP723482.1_2010	KP723482.1_2010	4	4II	4II_A	4II_A.2	-	4/4II/4II_A/4II_A.2/-	KP723482.1_2010/4/4II/4II_A/4II_A.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KR011349.2_1956-08-28	KR011349.2_1956-08-28	4	-	-	-	-	4/-/-/-/-	KR011349.2_1956-08-28/4/-/-/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KT276273.1_2014-09-08	KT276273.1_2014-09-08	4	4II	4II_B	-	-	4/4II/4II_B/-/-	KT276273.1_2014-09-08/4/4II/4II_B/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KU509287.1_2009	KU509287.1_2009	4	4I	4I_B	4I_B.2	-	4/4I/4I_B/4I_B.2/-	KU509287.1_2009/4/4I/4I_B/4I_B.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KX059015.1_2012-07	KX059015.1_2012-07	4	4I	4I_B	4I_B.2	-	4/4I/4I_B/4I_B.2/-	KX059015.1_2012-07/4/4I/4I_B/4I_B.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KX059029.1_2012-08	KX059029.1_2012-08	4	4I	4I_B	4I_B.2	-	4/4I/4I_B/4I_B.2/-	KX059029.1_2012-08/4/4I/4I_B/4I_B.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KX812530.1_1976	KX812530.1_1976	4	4II	4II_B	-	-	4/4II/4II_B/-/-	KX812530.1_1976/4/4II/4II_B/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KX845005.1_2015	KX845005.1_2015	4	4I	4I_B	4I_B.2	-	4/4I/4I_B/4I_B.2/-	KX845005.1_2015/4/4I/4I_B/4I_B.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KY586944.1_2001	KY586944.1_2001	4	4III	-	-	-	4/4III/-/-/-	KY586944.1_2001/4/4III/-/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KY586945.1_1998	KY586945.1_1998	4	4III	-	-	-	4/4III/-/-/-	KY586945.1_1998/4/4III/-/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KY924607.1_2016	KY924607.1_2016	4	4I	4I_A	4I_A.1	-	4/4I/4I_A/4I_A.1/-	KY924607.1_2016/4/4I/4I_A/4I_A.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/LC410203.1_2017-06	LC410203.1_2017-06	4	4I	4I_A	4I_A.3	-	4/4I/4I_A/4I_A.3/-	LC410203.1_2017-06/4/4I/4I_A/4I_A.3	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MG272272.1_2016	MG272272.1_2016	4	4I	4I_B	4I_B.1	-	4/4I/4I_B/4I_B.1/-	MG272272.1_2016/4/4I/4I_B/4I_B.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MK858146.2_2016-07-03	MK858146.2_2016-07-03	4	4I	4I_B	4I_B.2	-	4/4I/4I_B/4I_B.2/-	MK858146.2_2016-07-03/4/4I/4I_B/4I_B.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MN018393.1_2015-07-25	MN018393.1_2015-07-25	4	4II	4II_A	-	-	4/4II/4II_A/-/-	MN018393.1_2015-07-25/4/4II/4II_A/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MN018394.1_2015-10-03	MN018394.1_2015-10-03	4	4I	4I_A	4I_A.1	4I_A.1.2	4/4I/4I_A/4I_A.1/4I_A.1.2	MN018394.1_2015-10-03/4/4I/4I_A/4I_A.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MN018395.1_2015-10-20	MN018395.1_2015-10-20	4	4I	4I_A	4I_A.2	-	4/4I/4I_A/4I_A.2/-	MN018395.1_2015-10-20/4/4I/4I_A/4I_A.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MN018396.1_2015-11-12	MN018396.1_2015-11-12	4	4II	4II_A	-	-	4/4II/4II_A/-/-	MN018396.1_2015-11-12/4/4II/4II_A/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MN018397.1_2016-02-01	MN018397.1_2016-02-01	4	4I	4I_A	4I_A.3	-	4/4I/4I_A/4I_A.3/-	MN018397.1_2016-02-01/4/4I/4I_A/4I_A.3	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MN018398.1_2016-08-16	MN018398.1_2016-08-16	4	4I	4I_B	4I_B.1	-	4/4I/4I_B/4I_B.1/-	MN018398.1_2016-08-16/4/4I/4I_B/4I_B.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MN449006.1_2012-07-16	MN449006.1_2012-07-16	4	4I	4I_A	4I_A.3	-	4/4I/4I_A/4I_A.3/-	MN449006.1_2012-07-16/4/4I/4I_A/4I_A.3	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MW788999.1_2018-05	MW788999.1_2018-05	4	4I	4I_A	4I_A.3	-	4/4I/4I_A/4I_A.3/-	MW788999.1_2018-05/4/4I/4I_A/4I_A.3	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MW945493.1_1999	MW945493.1_1999	4	4III	-	-	-	4/4III/-/-/-	MW945493.1_1999/4/4III/-/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/MW945498.1_2010	MW945498.1_2010	4	4I	4I_A	-	-	4/4I/4I_A/-/-	MW945498.1_2010/4/4I/4I_A/-	-	-	-
