taxon	sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	combined	combined-with-id	isolate	country	collection_year
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/AB608789.1_1994	AB608789.1_1994	1	1I	-	-	-	1/1I/-/-/-	AB608789.1_1994/1/1I/-/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/AY732483.1_1981	AY732483.1_1981	1	1I	1I_B	-	-	1/1I/1I_B/-/-	AY732483.1_1981/1/1I/1I_B/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/DQ285559.1_2004	DQ285559.1_2004	1	1V	1V_A	-	-	1/1V/1V_A/-/-	DQ285559.1_2004/1/1V/1V_A/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/EF457905.1_1972	EF457905.1_1972	1	-	-	-	-	1/-/-/-/-	EF457905.1_1972/1/-/-/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/EPI_ISL_17689860_2022-07-08	EPI_ISL_17689860_2022-07-08	1	1V	1V_C	-	-	1/1V/1V_C/-/-	EPI_ISL_17689860_2022-07-08/1/1V/1V_C/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/EPI_ISL_17689871_2023-01-09	EPI_ISL_17689871_2023-01-09	1	1V	1V_D	1V_D.1	-	1/1V/1V_D/1V_D.1/-	EPI_ISL_17689871_2023-01-09/1/1V/1V_D/1V_D.1	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/EPI_ISL_17689873_2023-01-14	EPI_ISL_17689873_2023-01-14	1	1V	1V_D	-	-	1/1V/1V_D/-/-	EPI_ISL_17689873_2023-01-14/1/1V/1V_D/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/EU081258.1_2005	EU081258.1_2005	1	1V	1V_A	-	-	1/1V/1V_A/-/-	EU081258.1_2005/1/1V/1V_A/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/EU179860.1_2005	EU179860.1_2005	1	1III	1III_A	-	-	1/1III/1III_A/-/-	EU179860.1_2005/1/1III/1III_A/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/EU482789.1_2003	EU482789.1_2003	1	1I	1I_C	-	-	1/1I/1I_C/-/-	EU482789.1_2003/1/1I/1I_C/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/EU482811.1_2006	EU482811.1_2006	1	1I	1I_H	1I_H.2	-	1/1I/1I_H/1I_H.2/-	EU482811.1_2006/1/1I/1I_H/1I_H.2	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/EU677173.1_2007	EU677173.1_2007	1	1I	1I_C	-	-	1/1I/1I_C/-/-	EU677173.1_2007/1/1I/1I_C/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/FJ196847.1_1997	FJ196847.1_1997	1	1I	1I_A	-	-	1/1I/1I_A/-/-	FJ196847.1_1997/1/1I/1I_A/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/FJ196848.1_1999	FJ196848.1_1999	1	1I	1I_F	-	-	1/1I/1I_F/-/-	FJ196848.1_1999/1/1I/1I_F/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/FJ410269.1_2008	FJ410269.1_2008	1	1I	1I_C	-	-	1/1I/1I_C/-/-	FJ410269.1_2008/1/1I/1I_C/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/FJ639678.1_2003	FJ639678.1_2003	1	1I	1I_D	-	-	1/1I/1I_D/-/-	FJ639678.1_2003/1/1I/1I_D/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/FJ639735.1_1997	FJ639735.1_1997	1	1V	1V_B	-	-	1/1V/1V_B/-/-	FJ639735.1_1997/1/1V/1V_B/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/FJ639794.1_2004	FJ639794.1_2004	1	1V	1V_F	-	-	1/1V/1V_F/-/-	FJ639794.1_2004/1/1V/1V_F/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/FJ639819.1_2006	FJ639819.1_2006	1	1V	1V_E	-	-	1/1V/1V_E/-/-	FJ639819.1_2006/1/1V/1V_E/-	-	-	-
