taxon	sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	combined	combined-with-id	isolate	country	collection_year
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/DQ181801.1_1990	DQ181801.1_1990	2	2III	2III_A	-	-	2/2III/2III_A/-/-	DQ181801.1_1990/2/2III/2III_A/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/DQ181803.1_1985	DQ181803.1_1985	2	2V	-	-	-	2/2V/-/-/-	DQ181803.1_1985/2/2V/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EF105379.1_1970	EF105379.1_1970	2	2VI	-	-	-	2/2VI/-/-/-	EF105379.1_1970/2/2VI/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EF105385.1_1974	EF105385.1_1974	2	2VI	-	-	-	2/2VI/-/-/-	EF105385.1_1974/2/2VI/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EF105386.1_1980	EF105386.1_1980	2	2VI	-	-	-	2/2VI/-/-/-	EF105386.1_1980/2/2VI/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EF105388.1_1966	EF105388.1_1966	2	2VI	-	-	-	2/2VI/-/-/-	EF105388.1_1966/2/2VI/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EPI_ISL_17689850_2022-09-10	EPI_ISL_17689850_2022-09-10	2	2III	2III_D	2III_D.1	2III_D.1.2	2/2III/2III_D/2III_D.1/2III_D.1.2	EPI_ISL_17689850_2022-09-10/2/2III/2III_D/2III_D.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EPI_ISL_17689858_2022-10-17	EPI_ISL_17689858_2022-10-17	2	2III	2III_D	2III_D.1	2III_D.1.2	2/2III/2III_D/2III_D.1/2III_D.1.2	EPI_ISL_17689858_2022-10-17/2/2III/2III_D/2III_D.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EPI_ISL_17689875_2022-12-12	EPI_ISL_17689875_2022-12-12	2	2III	2III_D	2III_D.1	2III_D.1.2	2/2III/2III_D/2III_D.1/2III_D.1.2	EPI_ISL_17689875_2022-12-12/2/2III/2III_D/2III_D.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EPI_ISL_17699786_2023-03-27	EPI_ISL_17699786_2023-03-27	2	2II	2II_F	2II_F.1	2II_F.1.2	2/2II/2II_F/2II_F.1/2II_F.1.2	EPI_ISL_17699786_2023-03-27/2/2II/2II_F/2II_F.1	-	-	-
