sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage
DQ675519.1_1995	3	-	-	-	-
KJ737430.1_1983	3	-	-	-	-
OK469354.1_1989	3	-	-	-	-
OK469356.1_1976	3	-	-	-	-
OM258630.1_1953	3	-	-	-	-
MN018370.1_2015-07-24	3	3I	3I_A	-	-
MN018374.1_2015-09-28	3	3I	3I_A	-	-
MT921575.1_2016	3	3I	3I_A	-	-
OK605763.1_1985	3	3I	3I_A	-	-
FJ898456.1_1995	3	3I	3I_B	-	-
JQ920480.1_1996-09-04	3	3I	3I_B	-	-
JQ920485.1_1996-10-21	3	3I	3I_B	-	-
MW946691.1_1992	3	3I	3I_B	-	-
MW946955.1_1978	3	3I	3I_B	-	-
KU509279.1_2008	3	3I	3I_C	-	-
MN018380.1_2015-09-16	3	3I	3I_C	-	-
MN018389.1_2017-02-15	3	3I	3I_C	-	-
HM631854.1_2008	3	3II	3II_A	-	-
MW946876.1_2003	3	3II	3II_A	-	-
MZ857226.1_1991-09-17	3	3II	3II_A	-	-
KY586818.1_2007	3	3II	3II_B	-	-
MF682971.1_2013-07-22	3	3II	3II_B	-	-
MW946664.1_2011	3	3II	3II_B	-	-
FJ882573.1_1993	3	3III	3III_A	-	-
FJ644564.1_2007	3	3III	3III_B	-	-
MZ544587.1_2019-03	3	3III	3III_B	-	-
FJ882576.1_1994	3	3III	3III_C	-	-
OQ603310.1_2015	3	3III	3III_C	-	-
AY496879.2_1997	3	3I	-	-	-
MF004386.1_2012-10-04	3	3I	3I_A	-	-
MN018379.1_2015-10-03	3	3I	3I_C	-	-
MN922037.1_2019-08-02	3	3I	3I_C	-	-
KF955476.1_1983	3	3II	-	-	-
OK469355.1_1973	3	3II	-	-	-
KY586702.1_2008	3	3II	3II_A	-	-
AY496871.2_2002	3	3II	3II_B	-	-
KT424097.1_2014-08-28	3	3II	3II_B	-	-
JQ922555.1_1966	3	3III	-	-	-
JQ922554.1_1963	3	3V	-	-	-
KM190937.1_1964	3	3V	-	-	-
KU050695.1_1956	3	3V	-	-	-
KY921906.1_2015-06	3	3I	3I_A	3I_A.1	-
MF682968.1_2016-09-10	3	3I	3I_A	3I_A.1	-
MK894338.1_2018-02-05	3	3I	3I_A	3I_A.1	-
OP410996.1_2019-11	3	3I	3I_A	3I_A.1	-
OQ103317.1_2022-05-20	3	3I	3I_A	3I_A.1	-
MT006158.1_2018-06-19	3	3I	3I_A	3I_A.1	-
MN018377.1_2015-12-22	3	3I	3I_A	3I_A.2	-
MN922035.1_2019-06-23	3	3I	3I_A	3I_A.2	-
MW396463.1_2019-07-02	3	3I	3I_A	3I_A.2	-
ON116130.1_2021-08	3	3I	3I_A	3I_A.2	-
ON127534.1_2021-08	3	3I	3I_A	3I_A.2	-
EU482452.1_2006	3	3II	3II_A	3II_A.1	-
EU482456.1_2006	3	3II	3II_A	3II_A.1	-
EU482462.1_2007	3	3II	3II_A	3II_A.1	-
EU660411.1_2006	3	3II	3II_A	3II_A.1	-
FJ432741.1_2007	3	3II	3II_A	3II_A.1	-
KY586721.1_2000	3	3II	3II_A	3II_A.2	-
