sequenceID	reference_seq_name	serotype	genotype	major_lineage	minor_lineage
MW945844	REF_DENV1II_MW945844	1	1II	1II	1II
JQ922547	REF_DENV1II_JQ922547	1	1II	1II	1II
MN018312	REF_DENV1I_J_MN018312	1	1I	1I_J	1I_J
MG840550	REF_DENV1I_J_MG840550	1	1I	1I_J	1I_J
MN018311	REF_DENV1I_J_MN018311	1	1I	1I_J	1I_J
MG840549	REF_DENV1I_J_MG840549	1	1I	1I_J	1I_J
MN018313	REF_DENV1I_J_MN018313	1	1I	1I_J	1I_J
GU131740	REF_DENV1I_G_GU131740	1	1I	1I_G	1I_G
GU131758	REF_DENV1I_G_GU131758	1	1I	1I_G	1I_G
GU131759	REF_DENV1I_G_GU131759	1	1I	1I_G	1I_G
GU131784	REF_DENV1I_G_GU131784	1	1I	1I_G	1I_G
EU677152	REF_DENV1I_G_EU677152	1	1I	1I_G	1I_G
MW946075	REF_DENV1I_F_MW946075	1	1I	1I_F	1I_F
KY586492	REF_DENV1I_F_KY586492	1	1I	1I_F	1I_F
KY586493	REF_DENV1I_F_KY586493	1	1I	1I_F	1I_F
KU509262	REF_DENV1I_F_KU509262	1	1I	1I_F	1I_F
KY586494	REF_DENV1I_F_KY586494	1	1I	1I_F	1I_F
JF937598	REF_DENV1I_D_JF937598	1	1I	1I_D	1I_D
FJ898424	REF_DENV1I_D_FJ898424	1	1I	1I_D	1I_D
FJ882520	REF_DENV1I_D_FJ882520	1	1I	1I_D	1I_D
FJ898429	REF_DENV1I_D_FJ898429	1	1I	1I_D	1I_D
GQ199843	REF_DENV1I_D_GQ199843	1	1I	1I_D	1I_D
GU131731	REF_DENV1I_C_GU131731	1	1I	1I_C	1I_C
GU131737	REF_DENV1I_C_GU131737	1	1I	1I_C	1I_C
GU131769	REF_DENV1I_C_GU131769	1	1I	1I_C	1I_C
JF937613	REF_DENV1I_C_JF937613	1	1I	1I_C	1I_C
GU131757	REF_DENV1I_C_GU131757	1	1I	1I_C	1I_C
KY586544	REF_DENV1I_A_KY586544	1	1I	1I_A	1I_A
KY586545	REF_DENV1I_A_KY586545	1	1I	1I_A	1I_A
MW945773	REF_DENV1I_A_MW945773	1	1I	1I_A	1I_A
KY586543	REF_DENV1I_A_KY586543	1	1I	1I_A	1I_A
MW945900	REF_DENV1I_A_MW945900	1	1I	1I_A	1I_A
MW945781	REF_DENV1I_B_MW945781	1	1I	1I_B	1I_B
MW945915	REF_DENV1I_B_MW945915	1	1I	1I_B	1I_B
MW945926	REF_DENV1I_B_MW945926	1	1I	1I_B	1I_B
MW945793	REF_DENV1I_B_MW945793	1	1I	1I_B	1I_B
JN638344	REF_DENV1I_B_JN638344	1	1I	1I_B	1I_B
FJ196841	REF_DENV1IV_C_FJ196841	1	1IV	1IV_C	1IV_C
FJ196842	REF_DENV1IV_C_FJ196842	1	1IV	1IV_C	1IV_C
KT827364	REF_DENV1IV_C_KT827364	1	1IV	1IV_C	1IV_C
JN205310	REF_DENV1IV_C_JN205310	1	1IV	1IV_C	1IV_C
KC762630	REF_DENV1IV_C_KC762630	1	1IV	1IV_C	1IV_C
MW265691	REF_DENV1IV_A_MW265691	1	1IV	1IV_A	1IV_A
MW265693	REF_DENV1IV_A_MW265693	1	1IV	1IV_A	1IV_A
MW265688	REF_DENV1IV_A_MW265688	1	1IV	1IV_A	1IV_A
MW265686	REF_DENV1IV_A_MW265686	1	1IV	1IV_A	1IV_A
JQ915080	REF_DENV1IV_A_JQ915080	1	1IV	1IV_A	1IV_A
OR025602	REF_DENV1V_E_OR025602	1	1V	1V_E	1V_E
EPI_ISL_17699800	REF_DENV1V_E_EPI_ISL_17699800	1	1V	1V_E	1V_E
OR025610	REF_DENV1V_E_OR025610	1	1V	1V_E	1V_E
EPI_ISL_17699796	REF_DENV1V_E_EPI_ISL_17699796	1	1V	1V_E	1V_E
ON632117	REF_DENV1V_E_ON632117	1	1V	1V_E	1V_E
ON632090	REF_DENV1V_F_ON632090	1	1V	1V_F	1V_F
EPI_ISL_14908815	REF_DENV1V_F_EPI_ISL_14908815	1	1V	1V_F	1V_F
OR025603	REF_DENV1V_F_OR025603	1	1V	1V_F	1V_F
EPI_ISL_17699801	REF_DENV1V_F_EPI_ISL_17699801	1	1V	1V_F	1V_F
OR025617	REF_DENV1V_F_OR025617	1	1V	1V_F	1V_F
GU131949	REF_DENV1V_G_GU131949	1	1V	1V_G	1V_G
GQ868565	REF_DENV1V_G_GQ868565	1	1V	1V_G	1V_G
OA08	REF_DENV1V_G_OA08	1	1V	1V_G	1V_G
OA10	REF_DENV1V_G_OA10	1	1V	1V_G	1V_G
GQ868563	REF_DENV1V_G_GQ868563	1	1V	1V_G	1V_G
GU131982	REF_DENV1V_C_GU131982	1	1V	1V_C	1V_C
GQ868531	REF_DENV1V_C_GQ868531	1	1V	1V_C	1V_C
KJ189330	REF_DENV1V_C_KJ189330	1	1V	1V_C	1V_C
GU131972	REF_DENV1V_C_GU131972	1	1V	1V_C	1V_C
GQ868506	REF_DENV1V_C_GQ868506	1	1V	1V_C	1V_C
MZ008439	REF_DENV1V_B_MZ008439	1	1V	1V_B	1V_B
MZ008443	REF_DENV1V_B_MZ008443	1	1V	1V_B	1V_B
MZ008448	REF_DENV1V_B_MZ008448	1	1V	1V_B	1V_B
KF973474	REF_DENV1V_B_KF973474	1	1V	1V_B	1V_B
KF973454	REF_DENV1V_B_KF973454	1	1V	1V_B	1V_B
ON426273	REF_DENV1V_A_ON426273	1	1V	1V_A	1V_A
EPI_ISL_14908770	REF_DENV1V_A_EPI_ISL_14908770	1	1V	1V_A	1V_A
ON632120	REF_DENV1V_A_ON632120	1	1V	1V_A	1V_A
EPI_ISL_14908798	REF_DENV1V_A_EPI_ISL_14908798	1	1V	1V_A	1V_A
OQ605987	REF_DENV1V_A_OQ605987	1	1V	1V_A	1V_A
MN886856	REF_DENV1III_A_MN886856	1	1III	1III_A	1III_A
KX459390	REF_DENV1III_A_KX459390	1	1III	1III_A	1III_A
KX225487	REF_DENV1III_A_KX225487	1	1III	1III_A	1III_A
MN886843	REF_DENV1III_A_MN886843	1	1III	1III_A	1III_A
KX225483	REF_DENV1III_A_KX225483	1	1III	1III_A	1III_A
MK858134	REF_DENV1III_B_MK858134	1	1III	1III_B	1III_B
MK791752	REF_DENV1III_B_MK791752	1	1III	1III_B	1III_B
MK858137	REF_DENV1III_B_MK858137	1	1III	1III_B	1III_B
MG721063	REF_DENV1III_B_MG721063	1	1III	1III_B	1III_B
MK858126	REF_DENV1III_B_MK858126	1	1III	1III_B	1III_B
MZ130534	REF_DENV1VI_A_MZ130534	1	1VI	1VI_A	1VI_A
MZ130539	REF_DENV1VI_A_MZ130539	1	1VI	1VI_A	1VI_A
MZ130540	REF_DENV1VI_A_MZ130540	1	1VI	1VI_A	1VI_A
MN577472	REF_DENV1VI_A_MN577472	1	1VI	1VI_A	1VI_A
MZ130538	REF_DENV1VI_A_MZ130538	1	1VI	1VI_A	1VI_A
OQ593393	REF_DENV1VI_B_OQ593393	1	1VI	1VI_B	1VI_B
OQ593390	REF_DENV1VI_B_OQ593390	1	1VI	1VI_B	1VI_B
OQ593389	REF_DENV1VI_B_OQ593389	1	1VI	1VI_B	1VI_B
OQ593391	REF_DENV1VI_B_OQ593391	1	1VI	1VI_B	1VI_B
OQ593392	REF_DENV1VI_B_OQ593392	1	1VI	1VI_B	1VI_B
MN923103	REF_DENV1I_K.1_MN923103	1	1I	1I_K	1I_K.1
ON908212	REF_DENV1I_K.1_ON908212	1	1I	1I_K	1I_K.1
MN444623	REF_DENV1I_K.1_MN444623	1	1I	1I_K	1I_K.1
MN923106	REF_DENV1I_K.1_MN923106	1	1I	1I_K	1I_K.1
OM281593	REF_DENV1I_K.1_OM281593	1	1I	1I_K	1I_K.1
MN018329	REF_DENV1I_K.2_MN018329	1	1I	1I_K	1I_K.2
MG840545	REF_DENV1I_K.2_MG840545	1	1I	1I_K	1I_K.2
MN018330	REF_DENV1I_K.2_MN018330	1	1I	1I_K	1I_K.2
MG840546	REF_DENV1I_K.2_MG840546	1	1I	1I_K	1I_K.2
MN018331	REF_DENV1I_K.2_MN018331	1	1I	1I_K	1I_K.2
KT827372	REF_DENV1I_K.3_KT827372	1	1I	1I_K	1I_K.3
MN886887	REF_DENV1I_K.3_MN886887	1	1I	1I_K	1I_K.3
MG560266	REF_DENV1I_K.3_MG560266	1	1I	1I_K	1I_K.3
