sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage
AB608789.1_1994	1	1I	-	-	-
EF457905.1_1972	1	-	-	-	-
GU131835.1_2004	1	1V	-	-	-
JQ922544.1_1963	1	1V	-	-	-
JQ922545.1_1982	1	1III	-	-	-
JQ922546.1_1971	1	1VI	-	-	-
JQ922547.1_1960	1	1II	-	-	-
KF289073.1_1956	1	1V	-	-	-
KY586516.1_1998	1	1I	-	-	-
MW582813.1_2019-06-21	1	1IV	-	-	-
MW945806.1_1998	1	1I	-	-	-
MW945844.1_1964	1	1II	-	-	-
MW946069.1_1999	1	1I	-	-	-
MW946134.1_1996	1	1I	-	-	-
OA01_1973	1	1III	-	-	-
OK469342.1_1997	1	1IV	-	-	-
OK605753.1_1983	1	1IV	-	-	-
ON109597.1_2021	1	1III	1III_A	-	-
OQ061315.1_1997	1	1III	-	-	-
FJ196847.1_1997	1	1I	1I_A	-	-
KY586545.1_2004	1	1I	1I_A	-	-
MW945835.1_1997	1	1I	1I_A	-	-
MW946016.1_1995	1	1I	1I_A	-	-
MW946160.1_1998	1	1I	1I_A	-	-
AY732483.1_1981	1	1I	1I_B	-	-
KJ649286.1_2011-12-31	1	1I	1I_B	-	-
KU509258.1_2010	1	1I	1I_B	-	-
MW945829.1_1995	1	1I	1I_B	-	-
MW946065.1_1996	1	1I	1I_B	-	-
OK040060.1_2011	1	1I	1I_B	-	-
EU482789.1_2003	1	1I	1I_C	-	-
EU677173.1_2007	1	1I	1I_C	-	-
FJ410269.1_2008	1	1I	1I_C	-	-
GQ199805.1_2007	1	1I	1I_C	-	-
GU131753.1_2008	1	1I	1I_C	-	-
GU131792.1_2008	1	1I	1I_C	-	-
FJ639678.1_2003	1	1I	1I_D	-	-
FJ850069.1_2003	1	1I	1I_D	-	-
FJ882549.1_2007	1	1I	1I_D	-	-
GQ199775.1_2007	1	1I	1I_D	-	-
JQ287664.1_2004	1	1I	1I_D	-	-
MG840578.1_2017	1	1I	1I_E	1I_E.1	-
MN933669.1_2018-10-16	1	1I	1I_E	1I_E.1	-
OQ426604.1_2019-04-23	1	1I	1I_E	1I_E.1	-
MW265710.1_2016-04-27	1	1I	1I_E	1I_E.2	-
MW315182.1_2017-03-10	1	1I	1I_E	1I_E.2	-
MW315184.1_2017-04-12	1	1I	1I_E	1I_E.2	-
MW315188.1_2017-03-17	1	1I	1I_E	1I_E.2	-
MW315190.1_2017-03-29	1	1I	1I_E	1I_E.2	-
MW315195.1_2017-06-05	1	1I	1I_E	1I_E.2	-
KC759167.1_2012-01-09	1	1I	1I_E	-	-
KY586530.1_2002	1	1I	1I_E	-	-
MW265667.1_2016-02-09	1	1I	1I_E	-	-
OQ832613.1_2020-09	1	1I	1I_E	-	-
MG840570.1_2016	1	1I	1I_E	1I_E.1	-
MN018326.1_2017-09-19	1	1I	1I_E	1I_E.1	-
FJ196848.1_1999	1	1I	1I_F	-	-
KU509260.1_2008	1	1I	1I_F	-	-
MW946055.1_2003	1	1I	1I_F	-	-
MW946075.1_2010	1	1I	1I_F	-	-
