sequenceID	designation	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	minor_subsublineage	outgroup
MW582813.1_2019-06-21	1IV	1	1IV	1IV	1IV	1IV		
OK469344.1_1975	1IV	1	1IV	1IV	1IV	1IV		
MW265693.1_2012-04-28	1IV	1	1IV	1IV	1IV	1IV		
KU509261.1_2010	1IV	1	1IV	1IV	1IV	1IV		
OL321180.1_2016-02-08	1IV	1	1IV	1IV	1IV	1IV		
JQ922547.1_1960	1II	1	1II	1II	1II	1II		
MW945844.1_1964	1II	1	1II	1II	1II	1II		
OQ605987.1_2022-03-31	1V	1	1V	1V	1V	1V		
KF289073.1_1956	1V	1	1V	1V	1V	1V		
OR167255.1_2023-03-23	1V	1	1V	1V	1V	1V		
OR167130.1_2023-03-03	1V	1	1V	1V	1V	1V		
JN903578.1_2007-07-26	1V	1	1V	1V	1V	1V		
ON632090.1_2022-03-25	1V	1	1V	1V	1V	1V		
EU179860.1_2005	1III	1	1III	1III	1III	1III		
ON123656.1_2019	1III	1	1III	1III	1III	1III		
KX618706.1_2014	1III	1	1III	1III	1III	1III		
OA01_1973	1III	1	1III	1III	1III	1III		
MK858130.1_2016-10-25	1III	1	1III	1III	1III	1III		
ON109597.1_2021	1III	1	1III	1III	1III	1III		
KF184975.1_2013-04	1VII	1	1VII	1VII	1VII	1VII		
OQ593389.1_2017-06-21	1VII	1	1VII	1VII	1VII	1VII		
LC707382.1_2021-06-30	1VII	1	1VII	1VII	1VII	1VII		
MZ857205.1_2013	1VII	1	1VII	1VII	1VII	1VII		
JQ922546.1_1971	1VII	1	1VII	1VII	1VII	1VII		
MW946449.1_2014	2V	2	2V	2V	2V	2V		
MZ453007.1_2019	2V	2	2V	2V	2V	2V		
OK469345.1_1985	2V	2	2V	2V	2V	2V		
OQ028221.1_2019-11-13	2V	2	2V	2V	2V	2V		
KC964095.1_1998	2V	2	2V	2V	2V	2V		
GQ868591.1_1964	2V	2	2V	2V	2V	2V		
KF744400.1_2000	2IV	2	2IV	2IV	2IV	2IV		
KF744402.1_2000	2IV	2	2IV	2IV	2IV	2IV		
KF744407.1_1996	2IV	2	2IV	2IV	2IV	2IV		
OK605760.1_1988	2IV	2	2IV	2IV	2IV	2IV		
KF744399.1_1998	2IV	2	2IV	2IV	2IV	2IV		
OK469347.1_1988	2IV	2	2IV	2IV	2IV	2IV		
EU482721.1_2006	2III	2	2III	2III	2III	2III		
FM210217.1_1999	2III	2	2III	2III	2III	2III		
OK469346.1_1981	2III	2	2III	2III	2III	2III		
ON634720.1_2021-02-22	2III	2	2III	2III	2III	2III		
OQ821485.1_2022-07-06	2III	2	2III	2III	2III	2III		
OP684211.1_2019-10-19	2II	2	2II	2II	2II	2II		
OP921000.1_2022-07-29	2II	2	2II	2II	2II	2II		
AP001_1969-02-11	2II	2	2II	2II	2II	2II		
EU179859.1_2006	2II	2	2II	2II	2II	2II		
OM681318.1_2021-11-16	2II	2	2II	2II	2II	2II		
OL469512.1_2017-04-30	2II	2	2II	2II	2II	2II		
JX966379.1_1994	2I	2	2I	2I	2I	2I		
JQ922550.1_1971	2I	2	2I	2I	2I	2I		
JQ922553.1_1980	2I	2	2I	2I	2I	2I		
JQ922552.1_1960	2I	2	2I	2I	2I	2I		
MW946575.1_1996	2I	2	2I	2I	2I	2I		
GQ398257.1_1977	2I	2	2I	2I	2I	2I		
FJ467493.1_2008	2VI	2	2VI	2VI	2VI	2VI		
EF105388.1_1966	2VI	2	2VI	2VI	2VI	2VI		
EF105385.1_1974	2VI	2	2VI	2VI	2VI	2VI		
EF105386.1_1980	2VI	2	2VI	2VI	2VI	2VI		
JF260983.1_2009	2VI	2	2VI	2VI	2VI	2VI		
EF105379.1_1970	2VI	2	2VI	2VI	2VI	2VI		
KM190937.1_1964	3V	3	3V	3V	3V	3V		
KU050695.1_1956	3V	3	3V	3V	3V	3V		
JQ922554.1_1963	3V	3	3V	3V	3V	3V		
MN922037.1_2019-08-02	3I	3	3I	3I	3I	3I		
AY496879.2_1997	3I	3	3I	3I	3I	3I		
MN018379.1_2015-10-03	3I	3	3I	3I	3I	3I		
MF004386.1_2012-10-04	3I	3	3I	3I	3I	3I		
KT424097.1_2014-08-28	3II	3	3II	3II	3II	3II		
AY496871.2_2002	3II	3	3II	3II	3II	3II		
OK469355.1_1973	3II	3	3II	3II	3II	3II		
MW946934.1_2011	3II	3	3II	3II	3II	3II		
KY586702.1_2008	3II	3	3II	3II	3II	3II		
KF955476.1_1983	3II	3	3II	3II	3II	3II		
JQ922555.1_1966	3III	3	3III	3III	3III	3III		
MG721059.2_2016	3III	3	3III	3III	3III	3III		
OM417341.1_2021-09-19	3III	3	3III	3III	3III	3III		
OP895705.1_2018	3III	3	3III	3III	3III	3III		
EF457906.1_1975	4IV	4	4IV	4IV	4IV	4IV		
AP011_1975	4IV	4	4IV	4IV	4IV	4IV		
AP009_1973	4IV	4	4IV	4IV	4IV	4IV		
JF262780.1_1973	4IV	4	4IV	4IV	4IV	4IV		
AP010_1975	4IV	4	4IV	4IV	4IV	4IV		
JF262779.1_1975	4IV	4	4IV	4IV	4IV	4IV		
MW945621.1_2001	4III	4	4III	4III	4III	4III		
KY586945.1_1998	4III	4	4III	4III	4III	4III		
MW945727.1_2005	4III	4	4III	4III	4III	4III		
MW945493.1_1999	4III	4	4III	4III	4III	4III		
MW945619.1_1996	4III	4	4III	4III	4III	4III		
KY586944.1_2001	4III	4	4III	4III	4III	4III		
MN018398.1_2016-08-16	4I	4	4I	4I	4I	4I		
MN018395.1_2015-10-20	4I	4	4I	4I	4I	4I		
OK469357.1_1963	4I	4	4I	4I	4I	4I		
JQ922558.1_1962	4I	4	4I	4I	4I	4I		
OM639995.1_2021-11-16	4I	4	4I	4I	4I	4I		
KY670635.1_2003-10	4I	4	4I	4I	4I	4I		
KX812530.1_1976	4II	4	4II	4II	4II	4II		
MN018396.1_2015-11-12	4II	4	4II	4II	4II	4II		
OQ821645.1_2022-09-10	4II	4	4II	4II	4II	4II		
OK469362.1_1995	4II	4	4II	4II	4II	4II		
OQ603316.1_2013-09-18	4II	4	4II	4II	4II	4II		
OP600512.1_2022-07	4II	4	4II	4II	4II	4II		
EF457905.1_1972	1I_outgroup	1	1I	1I	1I	1I		outgroup
EF457905.1_1972	1IV_outgroup	1	1IV	1IV	1IV	1IV		outgroup
EF457905.1_1972	1II_outgroup	1	1II	1II	1II	1II		outgroup
EF457905.1_1972	1V_outgroup	1	1V	1V	1V	1V		outgroup
EF457905.1_1972	1III_outgroup	1	1III	1III	1III	1III		outgroup
EF457905.1_1972	1VI_outgroup	1	1VI	1VI	1VI	1VI		outgroup
OK469347.1_1988	2V_outgroup	2	2V	2V	2V	2V		outgroup
OK469345.1_1985	2IV_outgroup	2	2IV	2IV	2IV	2IV		outgroup
AP001_1969-02-11	2III_outgroup	2	2III	2III	2III	2III		outgroup
GQ398257.1_1977	2II_outgroup	2	2II	2II	2II	2II		outgroup
MW946478.1_1974	2I_outgroup	2	2I	2I	2I	2I		outgroup
KX274130.1_2015	2VI_outgroup	2	2VI	2VI	2VI	2VI		outgroup
OM258630.1_1953	3V_outgroup	3	3V	3V	3V	3V		outgroup
KU050695.1_1956	3I_outgroup	3	3I	3I	3I	3I		outgroup
JQ922555.1_1966	3II_outgroup	3	3II	3II	3II	3II		outgroup
OK469356.1_1976	3III_outgroup	3	3III	3III	3III	3III		outgroup
MZ215848.1_2007-05-21	4IV_outgroup	4	4IV	4IV	4IV	4IV		outgroup
JF262779.1_1975	4III_outgroup	4	4III	4III	4III	4III		outgroup
KY586945.1_1998	4I_outgroup	4	4I	4I	4I	4I		outgroup
JF262783.1_1961	4II_outgroup	4	4II	4II	4II	4II		outgroup
MN933665.1_2017-07-31	1I_K	1	1I	1I_K	1I_K	1I_K		
GU131752.1_2008	1I_K	1	1I	1I_K	1I_K	1I_K		
MN933659.1_2015-04-21	1I_K	1	1I	1I_K	1I_K	1I_K		
