sequenceID	fasta_name	Country	collection_date	serotype	old_genotype	genotype	major_lineage	minor_lineage	trimmed_coverage	source
KY586544	KY586544.1|2003	Thailand	2003	DENV1	1I	1I	1I_A		1	genbank
KY586545	KY586545.1|2004	Thailand	2004	DENV1	1I	1I	1I_A		1	genbank
MW945773	MW945773.1|2001	Thailand	2001	DENV1	1I	1I	1I_A		1	genbank
KY586543	KY586543.1|2001	Thailand	2001	DENV1	1I	1I	1I_A		1	genbank
MW945900	MW945900.1|2000	Thailand	2000	DENV1	1I	1I	1I_A		1	genbank
KY586542	KY586542.1|2000	Thailand	2000	DENV1	1I	1I	1I_A		1	genbank
KY586541	KY586541.1|2001	Thailand	2001	DENV1	1I	1I	1I_A		1	genbank
KY586540	KY586540.1|2001	Thailand	2001	DENV1	1I	1I	1I_A		1	genbank
MW945901	MW945901.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
MW945906	MW945906.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
MW945891	MW945891.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
MW945937	MW945937.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
MW946146	MW946146.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
MW946104	MW946104.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
MW945826	MW945826.1|1997	Thailand	1997	DENV1	1I	1I	1I_A		1	genbank
MW946045	MW946045.1|1998	Thailand	1998	DENV1	1I	1I	1I_A		1	genbank
MW945835	MW945835.1|1997	Thailand	1997	DENV1	1I	1I	1I_A		1	genbank
MW945934	MW945934.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
MW945867	MW945867.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
MW946167	MW946167.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
MW946036	MW946036.1|1996	Thailand	1996	DENV1	1I	1I	1I_A		1	genbank
MW946048	MW946048.1|1996	Thailand	1996	DENV1	1I	1I	1I_A		1	genbank
MW946098	MW946098.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
JN638339	JN638339.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
MW946071	MW946071.1|1996	Thailand	1996	DENV1	1I	1I	1I_A		1	genbank
JN638340	JN638340.1|1997	Thailand	1997	DENV1	1I	1I	1I_A		1	genbank
MW946123	MW946123.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
MW945863	MW945863.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
MW946220	MW946220.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
MW946212	MW946212.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
MW945859	MW945859.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
MW945987	MW945987.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
JN638343	JN638343.1|1992	Thailand	1992	DENV1	1I	1I	1I_A		1	genbank
MW945845	MW945845.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
MW946082	MW946082.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
MW946210	MW946210.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
MW946175	MW946175.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
KY586538	KY586538.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
MW945893	MW945893.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
AY732475	AY732475.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
AY732480	AY732480.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
MW946195	MW946195.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
MW946160	MW946160.1|1998	Thailand	1998	DENV1	1I	1I	1I_A		1	genbank
MW946190	MW946190.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
KY586539	KY586539.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
MW945834	MW945834.1|1996	Thailand	1996	DENV1	1I	1I	1I_A		1	genbank
MW946032	MW946032.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
MW946027	MW946027.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
MW946254	MW946254.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
MW945925	MW945925.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
KY586546	KY586546.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
MW946126	MW946126.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
MW946177	MW946177.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
MW946203	MW946203.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
MW946119	MW946119.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
MW946016	MW946016.1|1995	Thailand	1995	DENV1	1I	1I	1I_A		1	genbank
MW946224	MW946224.1|1994	Thailand	1994	DENV1	1I	1I	1I_A		1	genbank
FJ196847	FJ196847.1|1997	China	1997	DENV1	1I_related	1I	1I_A		1	genbank
MW945781	MW945781.1|1994	Thailand	1994	DENV1	1I	1I	1I_B		1	genbank
MW945915	MW945915.1|1994	Thailand	1994	DENV1	1I	1I	1I_B		1	genbank
MW945926	MW945926.1|1994	Thailand	1994	DENV1	1I	1I	1I_B		1	genbank
MW945793	MW945793.1|1994	Thailand	1994	DENV1	1I	1I	1I_B		1	genbank
JN638344	JN638344.1|1995	Thailand	1995	DENV1	1I	1I	1I_B		1	genbank
MW946014	MW946014.1|1995	Thailand	1995	DENV1	1I	1I	1I_B		1	genbank
MW946052	MW946052.1|1994	Thailand	1994	DENV1	1I	1I	1I_B		1	genbank
MW945879	MW945879.1|1994	Thailand	1994	DENV1	1I	1I	1I_B		1	genbank
MW945976	MW945976.1|1991	Thailand	1991	DENV1	1I	1I	1I_B		1	genbank
MW945840	MW945840.1|1994	Thailand	1994	DENV1	1I	1I	1I_B		1	genbank
JN638337	JN638337.1|1990	Thailand	1990	DENV1	1I	1I	1I_B		1	genbank
JN638338	JN638338.1|1992	Thailand	1992	DENV1	1I	1I	1I_B		1	genbank
MW946065	MW946065.1|1996	Thailand	1996	DENV1	1I	1I	1I_B		1	genbank
MW946101	MW946101.1|1995	Thailand	1995	DENV1	1I	1I	1I_B		1	genbank
MW945841	MW945841.1|1995	Thailand	1995	DENV1	1I	1I	1I_B		1	genbank
MW945779	MW945779.1|1995	Thailand	1995	DENV1	1I	1I	1I_B		1	genbank
MW946038	MW946038.1|1988	Thailand	1988	DENV1	1I	1I	1I_B		1	genbank
AY732477	AY732477.1|1991	Thailand	1991	DENV1	1I	1I	1I_B		1	genbank
AY732478	AY732478.1|1991	Thailand	1991	DENV1	1I	1I	1I_B		1	genbank
JN638336	JN638336.1|1986	Thailand	1986	DENV1	1I	1I	1I_B		1	genbank
