sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage
AP012_1971-05-17	4	-	-	-	-
JF262783.1_1961	4	-	-	-	-
KF955510.1_2002	4	-	-	-	-
KR011349.2_1956-08-28	4	-	-	-	-
MW945667.1_1997	4	-	-	-	-
MZ215848.1_2007-05-21	4	-	-	-	-
JQ922558.1_1962	4	4I	-	-	-
KY670635.1_2003-10	4	4I	-	-	-
OK469357.1_1963	4	4I	-	-	-
MW945498.1_2010	4	4I	4I_A	-	-
OK469358.1_1976	4	4I	4I_A	-	-
JQ922559.1_1979	4	4I	4I_B	-	-
OK605769.1_1983	4	4I	4I_B	-	-
FJ196849.1_1978	4	4II	4II_A	-	-
MN018393.1_2015-07-25	4	4II	4II_A	-	-
OL314740.1_2019-05-30	4	4II	4II_A	-	-
MN018396.1_2015-11-12	4	4II	4II_A	-	-
OP600512.1_2022-07	4	4II	4II_A	-	-
KT276273.1_2014-09-08	4	4II	4II_B	-	-
US-DB409-2022_2022-10-26	4	4II	4II_B	-	-
KX812530.1_1976	4	4II	4II_B	-	-
OK469362.1_1995	4	4II	4II_B	-	-
OQ603316.1_2013-09-18	4	4II	4II_B	-	-
Yale-DN00839_2022-09-10	4	4II	4II_B	-	-
KY586944.1_2001	4	4III	-	-	-
KY586945.1_1998	4	4III	-	-	-
MW945493.1_1999	4	4III	-	-	-
MW945619.1_1996	4	4III	-	-	-
MW945621.1_2001	4	4III	-	-	-
MW945727.1_2005	4	4III	-	-	-
AP009_1973	4	4IV	-	-	-
AP010_1975	4	4IV	-	-	-
AP011_1975	4	4IV	-	-	-
EF457906.1_1975	4	4IV	-	-	-
JF262779.1_1975	4	4IV	-	-	-
JF262780.1_1973	4	4IV	-	-	-
KY924607.1_2016	4	4I	4I_A	4I_A.1	-
MZ976860.1_2020-08-03	4	4I	4I_A	4I_A.1	4I_A.1.1
OQ427041.1_2019-01-07	4	4I	4I_A	4I_A.1	4I_A.1.2
OQ427061.1_2018-12-24	4	4I	4I_A	4I_A.1	4I_A.1.1
MN018394.1_2015-10-03	4	4I	4I_A	4I_A.1	4I_A.1.2
OQ427048.1_2019-01-15	4	4I	4I_A	4I_A.1	4I_A.1.1
OQ426982.1_2018-12-18	4	4I	4I_A	4I_A.1	4I_A.1.1
OQ427042.1_2019-01-08	4	4I	4I_A	4I_A.1	4I_A.1.1
OQ427046.1_2019-01-15	4	4I	4I_A	4I_A.1	4I_A.1.2
OQ427047.1_2019-01-15	4	4I	4I_A	4I_A.1	4I_A.1.2
OQ427062.1_2018-12-25	4	4I	4I_A	4I_A.1	4I_A.1.2
JN638572.1_2008	4	4I	4I_A	4I_A.2	-
MW945533.1_2013	4	4I	4I_A	4I_A.2	-
MW945553.1_2006	4	4I	4I_A	4I_A.2	-
MW945653.1_2008	4	4I	4I_A	4I_A.2	-
MN018395.1_2015-10-20	4	4I	4I_A	4I_A.2	-
LC410203.1_2017-06	4	4I	4I_A	4I_A.3	-
MN449006.1_2012-07-16	4	4I	4I_A	4I_A.3	-
MW788999.1_2018-05	4	4I	4I_A	4I_A.3	-
MW945648.1_2005	4	4I	4I_A	4I_A.3	-
MN018397.1_2016-02-01	4	4I	4I_A	4I_A.3	-
KF041260.1_2009	4	4I	4I_B	4I_B.1	-
MG272272.1_2016	4	4I	4I_B	4I_B.1	-
OP984198.1_2018	4	4I	4I_B	4I_B.1	-
MN018398.1_2016-08-16	4	4I	4I_B	4I_B.1	-
OM639995.1_2021-11-16	4	4I	4I_B	4I_B.1	-
KU509287.1_2009	4	4I	4I_B	4I_B.2	-
KX059015.1_2012-07	4	4I	4I_B	4I_B.2	-
KX059029.1_2012-08	4	4I	4I_B	4I_B.2	-
KX845005.1_2015	4	4I	4I_B	4I_B.2	-
MK858146.2_2016-07-03	4	4I	4I_B	4I_B.2	-
OL314741.1_2019-06-20	4	4II	4II_A	4II_A.1	-
OL314744.1_2019-06-26	4	4II	4II_A	4II_A.1	-
OP600478.1_2020-08	4	4II	4II_A	4II_A.1	-
OP600507.1_2020-10	4	4II	4II_A	4II_A.1	-
OP600509.1_2022-07	4	4II	4II_A	4II_A.1	-
JF741967.1_2010-09-26	4	4II	4II_A	4II_A.2	-
KC762696.1_2007-08-13	4	4II	4II_A	4II_A.2	-
KC762698.1_2008-04-30	4	4II	4II_A	4II_A.2	-
KC762699.1_2008-03-28	4	4II	4II_A	4II_A.2	-
KP723482.1_2010	4	4II	4II_A	4II_A.2	-
