id	Refseq_name	serotype	genotype	isolate	country	place_sampled	collection_year	collection_month	collection_month_day	sampled_host_sci_name	Publications
AB608786	1I_AB608786	1	1I	NDF30	Taiwan	-	2008			Homo sapiens	
AF298808	1I_AF298808	1	1I	D1/H/IMTSSA/98/606	Djibouti	-	1998			-	https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-6-1283#tab2
AF350498	1I_AF350498	1	1I	GZ/80	-	-				-	
AY726552	1I_AY726552	1	1I	D1.Myanmar.44988/02	Myanmar	-	2002			-	
AY732478	1I_AY732478	1	1I	ThD1_0323_91	Thailand	Bangkok	1991			-	
AY732480	1I_AY732480	1	1I	ThD1_0097_94	Thailand	Bangkok	1994			-	
AY732482	1I_AY732482	1	1I	ThD1_0049_01	Thailand	Bangkok	2001			-	
FJ176779	1I_FJ176779	1	1I	DEN1/GZ/OY	China	Guangdong Province	2006			Homo sapiens	
FJ196847	1I_FJ196847	1	1I	GD01/97	China	Guangzhou, Guangdong Province	1997			-	
FJ469907	1I_FJ469907	1	1I	SG(EHI)D1209Y03	Singapore	-	2003			-	
GQ199835	1I_GQ199835	1	1I	DENV-1/VN/BID-V2840/2005	Viet Nam	South	2005			Homo sapiens	
GQ868637	1I_GQ868637	1	1I	DENV-1/IPC/BID-V3919/2000	Cambodia	TAK	2000			Homo sapiens	
GU131895	1I_GU131895	1	1I	DENV-1/IPC/BID-V3787/2009	Cambodia	TAK	2009			Homo sapiens	
HQ891316	1I_HQ891316	1	1I	DV1_SL_2009d	Sri Lanka	-	2009			Homo sapiens	
AF180817	1II_AF180817	1	1II	16007	Thailand	-	1964			-	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC111800/
AY713473	1III_AY713473	1	1III	D1.Myanmar.40553/71	Myanmar	-	1971			-	
AY722801	1III_AY722801	1	1III	D1.Myanmar.40568/76	Myanmar	-	1976			-	
AY722802	1III_AY722802	1	1III	D1.Myanmar.23819/96	Myanmar	-	1996			-	
AY722803	1III_AY722803	1	1III	D1.Myanmar.32514/98	Myanmar	-	1998			-	
AB074761	1IV_AB074761	1	1IV	A88	Indonesia	Jakarta	1988			-	
AB189120	1IV_AB189120	1	1IV	98901518 DHF DV-1	Indonesia	Sumatra	1998			Homo sapiens	
