taxon	sequenceID	source.name	genotype	major_lineage	minor_lineage	isolate	country	collection_year
alignment/AL_UNC_DENV2/member/ncbi-refseqs/AB122020	AB122020	ncbi-refseqs	2III	2III	2III	DR23/01	Dominican Republic	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs/AF038403	AF038403	ncbi-refseqs	2IV	2IV	2IV	New Guinea C	New Guinea	-
alignment/AL_UNC_DENV2/member/ncbi-refseqs/AF100469	AF100469	ncbi-refseqs	2I	2I	2I	131	Mexico	1992
alignment/AL_UNC_DENV2/member/ncbi-refseqs/AF204177	AF204177	ncbi-refseqs	2IV	2IV	2IV	44	China	1989
alignment/AL_UNC_DENV2/member/ncbi-refseqs/AF489932	AF489932	ncbi-refseqs	2III	2III	2III	BR64022	Brazil	1998
alignment/AL_UNC_DENV2/member/ncbi-refseqs/AY702036	AY702036	ncbi-refseqs	2III	2III	2III	Cuba115/97	Cuba	1997
alignment/AL_UNC_DENV2/member/ncbi-refseqs/DQ181797	DQ181797	ncbi-refseqs	2V	2V_A	-	ThD2_0078_01	Thailand	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs/DQ181798	DQ181798	ncbi-refseqs	2V	2V_D	-	ThD2_0055_99	Thailand	1999
alignment/AL_UNC_DENV2/member/ncbi-refseqs/DQ181802	DQ181802	ncbi-refseqs	2V	-	-	ThD2_0026_88	Thailand	1988
alignment/AL_UNC_DENV2/member/ncbi-refseqs/DQ181804	DQ181804	ncbi-refseqs	2V	-	-	ThD2_0498_84	Thailand	1984
alignment/AL_UNC_DENV2/member/ncbi-refseqs/DQ181805	DQ181805	ncbi-refseqs	2V	-	-	ThD2_0168_79	Thailand	1979
alignment/AL_UNC_DENV2/member/ncbi-refseqs/DQ181806	DQ181806	ncbi-refseqs	2V	-	-	ThD2_0038_74	Thailand	1974
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EF105379	EF105379	ncbi-refseqs	2VI	-	-	P8-1407	Malaysia	1970
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EF105380	EF105380	ncbi-refseqs-extended	2VI	2VI	2VI	Dak Ar 578	Cote d'Ivoire	1980
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EF105381	EF105381	ncbi-refseqs-extended	2VI	2VI	2VI	Dak Ar 510	Cote d'Ivoire	1980
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EF105382	EF105382	ncbi-refseqs	2VI	2VI	2VI	Dak Ar 2039	Burkina Faso	1980
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EF105383	EF105383	ncbi-refseqs-extended	2VI	2VI	2VI	Dak Ar A1247	Cote d'Ivoire	1980
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EF105386	EF105386	ncbi-refseqs-extended	2VI	2VI	2VI	Dak Ar A2022	Burkina Faso	1980
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EF105387	EF105387	ncbi-refseqs	2VI	-	-	IBH11208	Nigeria	1966
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EF105389	EF105389	ncbi-refseqs	2VI	-	-	Dak Ar 141069	Senegal	1999
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU056810	EU056810	ncbi-refseqs	2II	2II_B	-	1349	Burkina Faso	1983
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU056811	EU056811	ncbi-refseqs	2I	-	-	IQT-1950	Peru	1995
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU056812	EU056812	ncbi-refseqs	2I	-	-	1328	Puerto Rico	1977
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU081177	EU081177	ncbi-refseqs	2II	-	-	D2/SG/05K3295DK1/2005	Singapore	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU081179	EU081179	ncbi-refseqs	2II	-	-	D2/SG/05K4137DK1/2005	Singapore	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU081180	EU081180	ncbi-refseqs	2II	-	-	D2/SG/05K4155DK1/2005	Singapore	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU179859	EU179859	ncbi-refseqs	2II	2II_D	-	DS09-280106	Brunei	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482449	EU482449	ncbi-refseqs-extended	2III	2III_A	2III_A.2	DENV-2/VN/BID-V1004/2006	Viet Nam: south	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482548	EU482548	ncbi-refseqs-extended	2III	2III_B	2III_B	DENV-2/US/BID-V1035/2006	USA: Puerto Rico	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482549	EU482549	ncbi-refseqs-extended	2III	2III_B	2III_B	DENV-2/US/BID-V1036/2006	USA: Puerto Rico	2006
alignment/AL_UNC_DENV2/member/ncbi-refseqs/EU482582	EU482582	ncbi-refseqs	2III	-	-	DENV-2/US/BID-V1179/1989	USA	1989
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482597	EU482597	ncbi-refseqs-extended	2III	2III_D	2III_D.1.3	DENV-2/NI/BID-V609/2005	Nicaragua: Managua	2005
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482603	EU482603	ncbi-refseqs-extended	2III	2III_D	2III_D.1	DENV-2/NI/BID-V615/2007	Nicaragua: Managua	2007
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/EU482633	EU482633	ncbi-refseqs-extended	2III	2III_D	2III_D.1.3	DENV-2/NI/BID-V631/2006	Nicaragua: Managua	2006
